Date, Time, Count
11/08/2021,0,0
12/08/2021,0,0
13/08/2021,0,0
14/08/2021,NA,17
15/08/2021,NA,123
15/08/2021,NA,213
15/08/2021,NA,12
15/08/2021,NA,44
16/08/2021,7,92
16/08/2021,11,189
17/08/2021,0,0
18/08/2021,0,0
19/08/2021,0,0
20/08/2021,20,434
21/08/2021,0,0
22/08/2021,0,0
23/08/2021,0,0
24/08/2021,NA,10
25/08/2021,0,0
26/08/2021,0,0
27/08/2021,0,0
28/08/2021,0,0
29/08/2021,0,0
30/08/2021,0,0
31/08/2021,0,0
01/09/2021,0,0
02/09/2021,0,0
03/09/2021,0,0
04/09/2021,0,0
05/09/2021,0,0
06/09/2021,0,0
07/09/2021,0,0
08/09/2021,0,0
09/09/2021,0,0
10/09/2021,0,0
11/09/2021,0,0
12/09/2021,0,0
13/09/2021,0,0
14/09/2021,NA,319
14/09/2021,NA,55
15/09/2021,0,0
16/09/2021,0,0
17/09/2021,0,0
18/09/2021,0,0
19/09/2021,0,0
20/09/2021,0,0
21/09/2021,0,0
22/09/2021,0,0
23/09/2021,0,0
24/09/2021,0,0
25/09/2021,0,0
26/09/2021,0,0
27/09/2021,0,0
28/09/2021,0,0
29/09/2021,0,0
30/09/2021,0,0
01/10/2021,0,0
02/10/2021,0,0
03/10/2021,0,0
04/10/2021,0,0
05/10/2021,0,0
06/10/2021,0,0
07/10/2021,0,0
08/10/2021,0,0
09/10/2021,0,0
10/10/2021,NA,321
11/10/2021,0,0
12/10/2021,0,0
13/10/2021,40,492
14/10/2021,0,0
15/10/2021,0,0
16/10/2021,0,0
17/10/2021,0,0
18/10/2021,NA,440
19/10/2021,0,0
20/10/2021,0,0
21/10/2021,NA,109
22/10/2021,NA,119
23/10/2021,NA,275
24/10/2021,NA,969
25/10/2021,NA,340
26/10/2021,0,0
27/10/2021,0,0
28/10/2021,0,0
29/10/2021,0,0
30/10/2021,NA,133
31/10/2021,NA,1473
